City,Year,Month,YYYY-MM,Avg_PM2.5_ugm3,Avg_NO2_ppb,Avg_AQI,Avg_Temp_C,Rainfall_mm,WindSpeed_ms,PBL_Height_m,Geography_Tag,Population_million,Green_Cover_pct,Waste_Generation_Mt,Major_Policy_Event,Policy_Event_Flag,Source_Link,Notes,source_tag,quality_flag,PM2.5_rolling_avg,NO2_rolling_avg,PM2.5_anomaly,NO2_anomaly,Composite_Score,Grade
Beijing,2018,1,2018-01-01,112.0,35.8,184,-3.5,2.3,2.1,350,Landlocked,21.54,42.0,0.42,Winter Action Plan Active,1,https://power.larc.nasa.gov/ | https://energyandcleanair.org/wp/wp-content/uploads/2020/01/CREA-brief-China2019.pdf,Derived from ~51 µg/m³ annual avg using 2.2x winter multiplier; NASA POWER climatology,NASA POWER,0,112.0,35.8,2.913340297859061,2.9096222120777586,0.5199504115378464,A
Beijing,2018,2,2018-02-01,102.0,32.6,176,0.5,2.8,2.3,400,Landlocked,21.54,42.0,0.42,Coal-to-Gas Conversion Peak,1,https://power.larc.nasa.gov/ | https://epic.uchicago.edu/news/from-airpocalypse-to-olympic-blue-chinas-air-quality-transformation/,Winter heating season peak; seasonal pattern from CREA data,NASA POWER,0,107.0,34.2,2.4398333986963685,2.435751708977917,0.6297774555647576,S
Beijing,2018,3,2018-03-01,68.0,21.8,159,7.2,10.0,2.7,700,Landlocked,21.54,42.0,0.42,No Event,0,https://power.larc.nasa.gov/ | https://en.climate-data.org/asia/china/beijing/beijing-134/,Spring transition; 1.3x annual avg; possible dust storms,NASA POWER,0,94.0,30.066666666666663,0.8299099415432137,0.8364387610159508,0.7154086668767581,SS
Beijing,2018,4,2018-04-01,66.0,21.1,158,15.3,18.0,3.0,900,Landlocked,21.54,42.0,0.42,No Event,0,https://power.larc.nasa.gov/,Spring season; improved dispersion conditions,NASA POWER,0,78.66666666666667,25.166666666666668,0.7352085617106752,0.7327795884628605,0.7266733996309256,SS
Beijing,2018,5,2018-05-01,71.0,22.7,162,21.5,32.0,2.8,1100,Landlocked,21.54,42.0,0.42,No Event,0,https://power.larc.nasa.gov/ | https://weatherspark.com/y/131055/,Late spring; 1.4x multiplier,NASA POWER,0,68.33333333333333,21.866666666666664,0.9719620112920214,0.9697148400127812,0.7265320609982059,SS
Beijing,2018,6,2018-06-01,41.0,13.1,115,25.8,72.0,2.3,1350,Landlocked,21.54,42.0,0.42,No Event,0,https://power.larc.nasa.gov/,Monsoon onset; 0.8x annual avg; better dispersion,NASA POWER,0,59.333333333333336,18.96666666666667,-0.4485586861960562,-0.4518966692867446,0.768223546800313,SS
Beijing,2018,7,2018-07-01,36.0,11.5,101,27.2,176.0,2.1,1500,Landlocked,21.54,42.0,0.42,No Event,0,https://power.larc.nasa.gov/ | https://en.climate-data.org/asia/china/beijing/beijing-134/,Summer minimum; heavy rainfall; 0.7x annual avg,NASA POWER,0,49.333333333333336,15.766666666666666,-0.6853121357774025,-0.6888319208366654,0.7946458764921839,SS
Beijing,2018,8,2018-08-01,38.0,12.2,107,26.5,182.0,2.1,1450,Landlocked,21.54,42.0,0.42,No Event,0,https://power.larc.nasa.gov/,Peak monsoon; good air quality period,NASA POWER,0,38.333333333333336,12.266666666666666,-0.590610755944864,-0.5851727482835751,0.7939857793621915,SS
Beijing,2018,9,2018-09-01,51.0,16.3,142,21.0,48.0,2.3,1000,Landlocked,21.54,42.0,0.42,No Event,0,https://power.larc.nasa.gov/,Autumn transition; 1.0x annual avg,NASA POWER,0,41.66666666666666,13.333333333333334,0.0249482129666363,0.0219738338130975,0.7421092826544584,SS
Beijing,2018,10,2018-10-01,61.0,19.5,155,13.5,19.0,2.4,700,Landlocked,21.54,42.0,0.42,No Event,0,https://power.larc.nasa.gov/,Pre-heating season; 1.2x annual avg,NASA POWER,0,50.0,16.0,0.4984551121293289,0.4958443369129393,0.7181581753678044,SS
