CaseID,Event_Name,City,Year,Month,YYYY-MM,Key_Pollutant,PM2.5_ugm3,NO2_ppb,Temp_C,Rainfall_mm,WindSpeed_ms,PBL_Height_m,DriverCause,Intervention_Type,Policy_Event,Outcome,SourceReference,Notes
CS001,Beijing_Airpocalypse,Beijing,2013,01,2013-01,PM2.5,800,120,-5,2,1.5,200,Coal combustion for heating + industrial emissions (steel/cement/glass) + vehicle emissions + stagnant meteorology,Policy,Air Pollution Action Plan,Coal restrictions reduced PM2.5 by 35% by 2017,https://pmc.ncbi.nlm.nih.gov/articles/PMC6918940/,Severe winter smog lasting 3 weeks; visibility under 100m; 50% from coal-fired power
CS002,Delhi_Diwali,Delhi,2016,11,2016-11,PM2.5,900,95,22,0,0.8,250,Fireworks emissions + crop residue burning + vehicle traffic + thermal inversion,Policy,Partial Firecracker Ban,Raised awareness but limited immediate impact,https://airquality.gsfc.nasa.gov/particulate-matter,Fireworks combined with crop burning and thermal inversion
CS003,London_Great_Smog,London,1952,12,1952-12,PM2.5,1600,200,3,0,0.5,150,Coal combustion for heating + industrial emissions + anticyclonic conditions,Policy,Clean Air Act 1956,Reduced coal use and established smoke-free zones,https://pmc.ncbi.nlm.nih.gov/articles/PMC7536029/,5-day deadly smog; 12000+ deaths; coal combustion trapped by weather
CS004,COVID_Lockdown,Global,2020,04,2020-04,NO2,Drop 30-50%,Drop 40-60%,15,45,2.5,800,Transportation emissions cessation + industrial activity reduction,Behavior Change,Emergency Lockdowns,Temporary 25-60% reduction in NO2 globally,https://airquality.gsfc.nasa.gov/forecast,Clear evidence of transportation impact; NASA satellite data confirmed reductions
CS005,Los_Angeles_Smog,Los Angeles,1943,07,1943-07,O3,N/A,85,28,0,2.1,450,Vehicle emissions + photochemical reactions + topographic basin + temperature inversion,Policy,California Air Resources Board created,Led to vehicle emission standards nationwide,https://www.aqmd.gov/home/research/publications/50-years-of-progress,First recognized photochemical smog event
CS006,Mexico_City_Crisis,Mexico City,1992,03,1992-03,O3,120,150,22,5,1.2,600,Vehicle emissions + industrial activity + high altitude + intense solar radiation,Policy,Hoy No Circula program,Reduced vehicle emissions by 20% initially,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Emergency measures due to ozone levels; school closures
CS007,Donora_Death_Fog,Donora PA,1948,10,1948-10,SO2,N/A,N/A,10,2,0.3,180,Industrial emissions (steel/zinc production) + river valley topography + temperature inversion,Policy,Air Pollution Control Act 1955,First federal involvement in air quality,https://environmentalhistory.org/about/airpollution/,Industrial emissions trapped; 20 deaths; 6000 ill; catalyst for federal action
CS008,Tehran_School_Closure,Tehran,2016,12,2016-12,PM2.5,150,110,5,8,1.8,300,Vehicle emissions + winter heating + topographic basin + thermal inversion,Policy,Emergency Traffic Restrictions,Schools closed; temporary reduction in traffic,https://haqast.org/data-and-tools/,Combination of winter inversion and vehicle emissions
CS009,Paris_Spike,Paris,2014,03,2014-03,PM10,180,90,12,5,2.0,400,Vehicle emissions (diesel) + residential heating + long-range transport + anticyclonic conditions,Policy,Alternate License Plate Driving,Reduced PM10 by 15% during restrictions,https://www.earthdata.nasa.gov/learn/find-data/near-real-time/hazards-and-disasters/air-quality,Unusual spring pollution spike; free public transport offered
CS010,Harbin_Blackout,Harbin,2013,10,2013-10,PM2.5,1000,130,8,0,1.0,220,Coal heating system startup + industrial emissions + agricultural burning + stagnant air,Policy,Heating Season Regulations,Delayed coal heating start in subsequent years,https://pmc.ncbi.nlm.nih.gov/articles/PMC6918940/,Airport and highways closed; visibility near zero
CS011,Southeast_Asia_Haze,Singapore,2015,09,2015-09,PM2.5,400,55,28,10,1.5,500,Forest and peatland fires (land clearing) + transboundary transport + dry season,Policy,Transboundary Haze Pollution Act,ASEAN agreement on forest fire prevention,https://airquality.gsfc.nasa.gov/forecast,Indonesian forest fires; PSI exceeded 300
CS012,Santiago_Episode,Santiago,1989,06,1989-06,PM10,250,120,8,15,1.2,350,Vehicle emissions + residential wood burning + industrial activity + Andes mountain barrier,Policy,Pre-Emergency Environmental Alert,Led to systematic vehicle restrictions,https://www.earthdata.nasa.gov/learn/articles/sedac-air-quality-health-data-collection,Winter inversion with wood burning and vehicle emissions
CS013,California_Wildfires,San Francisco,2020,09,2020-09,PM2.5,550,45,22,0,2.5,400,Wildfire smoke (climate-driven) + dry vegetation + wind patterns,Infrastructure,Emergency Health Advisories,Increased focus on indoor air quality and low-cost sensors,https://appliedsciences.nasa.gov/sites/default/files/D1P8_SfcPM25_final_8.pdf,Climate-driven wildfires; smoke reached East Coast; NASA satellite monitoring
CS014,Jakarta_Haze,Jakarta,2019,09,2019-09,PM2.5,180,75,32,5,1.8,550,Forest fires (land clearing) + vehicle emissions + industrial activity + seasonal meteorology,Policy,Citizen Lawsuits,Government sued for negligence; early clean air regulations,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Forest fires plus urban traffic; seasonal haze crisis
CS015,Lahore_Winter_Smog,Lahore,2019,11,2019-11,PM2.5,650,105,18,0,1.0,280,Crop residue burning + vehicle emissions + industrial activity + brick kilns + thermal inversion,Policy,Emergency School Closures,Cross-border talks with India on crop burning,https://www.earthdata.nasa.gov/learn/find-data/near-real-time/hazards-and-disasters/air-quality,Severe smog from crop fires and urban sources
CS016,Cairo_Black_Cloud,Cairo,2015,10,2015-10,PM10,320,85,28,0,2.2,450,Agricultural burning (rice straw) + vehicle emissions + industrial activity + thermal inversion,Policy,Rice Straw Burning Ban,Mixed enforcement; recurring annual problem,https://airquality.gsfc.nasa.gov/forecast,Agricultural burning of rice straw; thermal inversion
CS017,Athens_Smog_Crisis,Athens,1987,07,1987-07,O3,N/A,140,35,0,1.5,500,Vehicle emissions + industrial emissions + photochemical reactions + Mediterranean anticyclone,Policy,Traffic Restrictions Introduced,Odd-even license plate system; catalytic converters mandated,https://appliedsciences.nasa.gov/sites/default/files/2023-03/D2P7_PM25Datasets_Final.pdf,Mediterranean summer inversion; industrial and vehicle emissions
CS018,Poza_Rica_Disaster,Poza Rica,1950,11,1950-11,H2S,N/A,N/A,22,5,0.4,200,Hydrogen sulfide gas release from oil refinery + stagnant meteorology + valley topography,Policy,Industrial Safety Regulations Mexico,Led to refinery safety standards and emergency protocols,https://environmentalhistory.org/about/airpollution/,22 deaths; 320 hospitalizations; toxic gas release from refinery malfunction
CS019,New_York_Smog,New York City,1966,11,1966-11,SO2,N/A,95,8,15,1.2,250,Coal-fired power plants + vehicle emissions + industrial sources + stagnant high-pressure system,Policy,Sulfur Content Regulations,Stricter emission controls on power plants and heating oil,https://en.wikipedia.org/wiki/1966_New_York_City_smog,Thanksgiving weekend disaster; 168+ deaths; third major NYC smog event
